Company,LONGITUDE,LATITUDE
ALCYON,44.959135,-0.527505
AUTO PNEUS NORMANDIE,49.055557,-0.023449
AUTO PNEUS VARENNES,49.231777, 5.034956
BATI RECYCLAGE,46.702422,-1.334087
CHRONO ROUTE BRETAGNE,47.941333,-1.666588
DROHE RECYCLAGE,43.104841, 0.739156
ENVIRONNEMENT SERVICES,42.029021,8.842495
ERRIC,48.497236, 3.234014
EUREC ENVIRONNEMENT,45.669002, 5.007778
EUREC SUD,43.348357, 3.130267
GCA LOGISTICS MARSEILLE,43.495558, 5.214917
GILLES HENRY,48.669197, 5.897641
GOMMAGE,50.400529, 2.812373
GRANULATEX,46.309752, 6.427313
GURDEBEKE,49.578092, 3.001732
HENRY RECYCLAGE,49.311580, 1.015802
LE FEUVRIER,48.729054,-0.572979
MEGA PNEUS 37,47.217277, 0.910286
OURRY,48.631412, 2.728279
PLANCHER ENVIRONNEMENT,44.581772, 4.436615
PROCAR RECYGOM,45.849364, 3.282857
RAMERY ENVIRONNEMENT,50.501483, 2.914035
TFM PNEUS,45.933775,4.785909
TFM SUD,43.604412, 7.052493
TRANSPORTS CASSIER,46.853909, 3.637116
TRIGONE,48.220074,-2.928919
VALPAQ,44.325040,-0.926061
